图片	识别内容																																						
	"{
  ""合同签订主体"": ""甲方：北京京荣徽科技有限公司；乙方：嘉益代理记账有限公司"",
  ""合同名称"": ""代理记账合同"",
  ""客户名称"": ""北京京荣徽科技有限公司"",
  ""合同含税金额"": null,
  ""合同不含税金额"": null,
  ""税率"": null,
  ""开票类型"": null,
  ""合同交付标的"": ""代理建账、记账（含每月做账报税、装订凭证及账簿、提供财务报表）、代理申报纳税、财务管理咨询"",
  ""履约条款（交付验收节点）"": ""1. 乙方每月提供做账报税、装订会计凭证/账簿及资产负债表、利润表、所得税报表；2. 甲方应在每月5日前向乙方提供真实、完整的会计资料（包括发票、银行对账单等）；3. 乙方协助甲方接受税务检查"",
  ""确收材料"": ""会计凭证、账簿、资产负债表、利润表、季度企业所得税报表、银行对账单、往来单据"",
  ""结算回款条款"": null,
  ""项目发生地"": null,
  ""交付周期"": ""2023年4月至2028年4月"",
  ""质保金"": null,
  ""质保期"": null,
  ""是否涉及农民工代付"": false,
  ""是否涉及垫付"": false,
  ""合同开始时间"": ""2023-04-01"",
  ""合同截止时间"": ""2028-04-30""
}"																																						
																																							
	"{
  ""合同签订主体"": ""陕西银巡科技有限公司、李朋波"",
  ""合同名称"": ""公司向股东借款合同"",
  ""客户名称"": ""陕西银巡科技有限公司"",
  ""合同含税金额"": ""人民币100,000.00元"",
  ""合同不含税金额"": null,
  ""税率"": null,
  ""开票类型"": null,
  ""合同交付标的"": ""借款"",
  ""履约条款（交付验收节点）"": ""出借方于合同签订之日起10日内，将该款项一次性汇到借款方指定的账户。"",
  ""确收材料"": null,
  ""结算回款条款"": ""还款期限：借款到期前借款人将本金和利息（如有）一次性支付至出借方指定账户。"",
  ""项目发生地"": ""陕西省西安市"",
  ""交付周期"": ""2023-03-24 至 2023-09-24"",
  ""质保金"": null,
  ""质保期"": null,
  ""是否涉及农民工代付"": false,
  ""是否涉及垫付"": false,
  ""合同开始时间"": ""2023-03-24"",
  ""合同截止时间"": ""2023-09-24""
}"																																						
																																					
																																					
																																							
																																							
	"{
  ""合同签订主体"": ""中国铁塔股份有限公司广州市分公司、润建股份有限公司"",
  ""合同名称"": ""智联业务内部验收证书"",
  ""客户名称"": ""中国铁塔股份有限公司广州市分公司"",
  ""合同含税金额"": null,
  ""合同不含税金额"": null,
  ""税率"": null,
  ""开票类型"": null,
  ""合同交付标的"": ""新增安装2台智能球机、2台高清球机"",
  ""履约条款（交付验收节点）"": ""2025年3月20日完工，2025年4月11日通过验收，验收结论为合格"",
  ""确收材料"": ""智联业务内部验收证书"",
  ""结算回款条款"": null,
  ""项目发生地"": ""番禺石楼镇沙南（海鸥岛）G7.21#工作井"",
  ""交付周期"": ""2025-03-20 至 2025-03-20"",
  ""质保金"": null,
  ""质保期"": null,
  ""是否涉及农民工代付"": false,
  ""是否涉及垫付"": false,
  ""合同开始时间"": ""2025-03-20"",
  ""合同截止时间"": ""2025-03-20""
}"																																						
																																							
	"{
  ""合同签订主体"": ""中国铁塔股份有限公司广州市分公司、润建股份有限公司"",
  ""合同名称"": ""智联设备质量交维验收表"",
  ""客户名称"": ""中国铁塔股份有限公司广州市分公司"",
  ""合同含税金额"": null,
  ""合同不含税金额"": null,
  ""税率"": null,
  ""开票类型"": null,
  ""合同交付标的"": ""智联终端设备/服务器设备安装、光缆传输及网络调试"",
  ""履约条款（交付验收节点）"": ""各项验收内容（信号线/电源线、设备安装、防雷接地、光缆传输、网络测试等）均验收合格，验收日期为 2025-04-11"",
  ""确收材料"": ""智联设备质量交维验收表"",
  ""结算回款条款"": null,
  ""项目发生地"": ""广州市番禺区骏马大道T"",
  ""交付周期"": ""未知 至 2025-04-11"",
  ""质保金"": null,
  ""质保期"": null,
  ""是否涉及农民工代付"": false,
  ""是否涉及垫付"": false,
  ""合同开始时间"": null,
  ""合同截止时间"": ""2025-04-11""
}"																																						
